Symbol,Marketcap,ESG rating
IRM,29806731264,14.25
ISRG,203691655168,18.03
IT,41870815232,16.67
ITW,76529950720,26.26
IVZ,8615040000,21.19
J,17378502656,23.89
JBHT,17217028096,14.34
JBL,17789579264,9.45
JCI,51490840576,16.06
JKHY,12701484032,18.66
JNJ,368053878784,20.1
JNPR,11541762048,12.85
JPM,747798462464,27.3
K,28172167168,30.44
KDP,43542044672,24.29
KEY,19900084224,25.21
KEYS,30837966848,8.95
KHC,36081635328,30.87
KIM,15133119488,11.22
KKR,154171867136,22.02
KLAC,98746982400,13.08
KMB,43124047872,24.45
KMI,61050662912,23.27
KMX,13171431424,11.08
KO,275914555392,24.16
KR,44603072512,22.8
KVUE,40818466816,17.02
L,18506504192,28.56
LDOS,18951489536,17.26
LEN,34666786816,26.02
LH,20893095936,19.74
LHX,40211513344,24.2
LIN,212423606272,11.63
LKQ,9719904256,10.99
LLY,729417187328,23.62
LMT,108971950080,28.14
LNT,15108549632,17.11
LOW,146831589376,11.93
LRCX,104146010112,12.21
LULU,50442936320,14.11
LUV,18417924096,28.41
LVS,33227941888,20.65
LW,8549900800,22.75
LYB,24584103936,19.84
LYV,33363062784,17.33
MA,517369167872,16.13
MAA,18302885888,11.68
MAR,80752926720,19.2
MAS,17104579584,22.27
MCD,208049078272,25.93
MCHP,29159641088,29.56
MCK,75497562112,13.22
MCO,90514014208,14.62
MDLZ,77543653376,21.98
MDT,116457578496,22.16
MET,59901251584,15.09
META,1740620562432,32.73
MGM,10266075136,24.2
MHK,7719735296,13.74
MKC,20692699136,25.85
MKTX,8318722048,13.87
MLM,33255579648,23.9
MMC,106514538496,19.98
MMM,83294183424,42.86
MNST,47371448320,32.89
MO,88302649344,31.32
MOH,17755451392,22.84
MOS,8859118592,37.28
MPC,46829592576,30.34
MPWR,31090909184,19.03
MRK,249979011072,19.96
MRNA,15169524736,19.16
MS,222457004032,24.82
MSCI,46769639424,14.4
MSFT,3085547601920,14.23
MSI,78421524480,12.39
MTB,33389940736,25.26
MTCH,8963949568,16.7
MTD,28793366528,10.73
MU,103061061632,18.6
NCLH,12465722368,20.04
NDAQ,47325573120,13.63
NDSN,12571875328,24.15
NEE,147155976192,25.05
NEM,49055805440,21.39
NFLX,417815920640,15.6
NI,17410856960,20.58
NKE,115859849216,18.44
NOC,70630760448,26.61
NOW,210282233856,16.33
NRG,20750862336,34.25
NSC,57779748864,23.29
NTAP,24823662592,14.34
NTRS,22005471232,24.92
NUE,30157031424,31.93
NVDA,3052683657216,12.23
NVR,24919658496,21.0
NWSA,16623195136,9.98
NXPI,53004234752,16.69
O,47821529088,15.53
ODFL,39627362304,15.93
OKE,56645545984,26.37
OMC,17052585984,14.57
ON,22286215168,21.27
ORCL,475651014656,14.89
ORLY,74727776256,11.78
OTIS,38116569088,18.77
OXY,43773702144,37.83
PANW,121016401920,12.93
PARA,7728977920,13.86
PAYC,11968324608,18.87
PAYX,53170503680,16.67
PCAR,58145472512,31.38
PCG,34328428544,30.51
PEG,41621716992,21.33
PEP,208405790720,20.82
PFE,150288580608,19.22
PFG,18858457088,11.18
PG,389221646336,24.93
PGR,144367271936,19.83
PH,91011473408,26.84
PHM,23334230016,21.13
PKG,19097909248,17.64
PLD,110446362624,10.93
PLTR,187913879552,22.35
PM,202438852608,26.55
PNC,79563538432,23.71
PNR,17131151360,22.0
PNW,9887351808,25.96
PODD,19526909952,21.37
POOL,13100605440,10.93
PPG,26768158720,22.3
PPL,24795791360,26.91
PRU,42982227968,18.63
PSA,52288626688,13.08
PSX,48679014400,33.08
PTC,23286478848,18.48
PWR,45406924800,36.6
PYPL,89797091328,16.41
QCOM,191155077120,13.62
QRVO,7750066688,20.21
RCL,71688740864,18.31
REG,13118127104,11.31
REGN,73953771520,18.39
RF,22394408960,14.3
RJF,34471006208,26.68
RL,15505945600,13.91
RMD,34670276608,24.67
ROK,31471777792,20.36
ROL,24079620096,18.6
ROP,61726375936,19.36
ROST,49674108928,17.03
RSG,67913273344,18.52
RTX,171675009024,29.84
RVTY,15350273024,15.58
SBAC,21242243072,9.73
SBUX,123816919040,22.34
SCHW,151423926272,23.3
SHW,90203668480,29.38
SJM,11374806016,27.19
SLB,57463042048,18.48
SMCI,16700313600,20.5
SNA,18641752064,30.88
SNPS,81227644928,14.03
SO,91982331904,28.14
SPG,65279733760,12.49
SPGI,161793507328,11.45
SRE,52527775744,23.22
STE,21779765248,23.14
STLD,19899973632,31.41
STT,29344403456,22.05
STX,20806629376,11.55
STZ,33316921344,26.39
SWK,13577223168,26.16
SWKS,14267370496,24.11
SYF,26784935936,16.46
SYK,149166014464,21.08
SYY,35674652672,15.27
T,172367593472,22.07
TAP,11286548480,27.98
TDG,75841175552,38.09
TDY,23829153792,34.28
TECH,11686507520,25.97
TEL,44147294208,13.3
TER,18857674752,16.07
TFC,63191261184,23.66
TFX,8371012608,23.77
TGT,63192018944,18.59
TJX,140283920384,15.8
TMO,228639375360,12.43
TMUS,266652794880,22.97
TPR,16997646336,13.13
TRGP,42914799616,31.82
TRMB,18424567808,9.55
TROW,25974831104,17.43
TRV,55557787648,20.55
TSCO,29038841856,13.91
TSLA,1301403926528,24.73
TSN,20120213504,36.82
TT,82430582784,14.8
TTWO,32580564992,15.87
TXN,168404385792,21.93
TXT,14193523712,33.13
TYL,25749350400,18.28
UAL,34808233984,27.04
UBER,140766707712,21.14
UDR,15680049152,12.93
UHS,12438473728,30.82
ULTA,19112425472,13.78
UNH,502079356928,16.54
UNP,150224420864,20.0
UPS,97480458240,18.88
URI,49506701312,15.74
USB,74536796160,24.21
V,662322937856,15.39
VICI,31382640640,13.92
VLO,42105802752,30.54
VLTO,25569173504,23.93
VMC,36204523520,28.44
VRSK,40589692928,16.29
VRSN,20661499904,20.77
VRTX,118895984640,19.56
VST,57168171008,29.33
VTR,25346854912,11.16
VTRS,13463695360,25.43
VZ,165817319424,19.32
WAB,35739369472,22.7
WAT,24669624320,12.77
WBA,8883492864,15.57
WBD,26052601856,18.12
WDC,22515961856,9.69
WEC,31401297920,22.78
WELL,84984725504,11.51
WFC,259234676736,34.38
WM,88404877312,18.61
WMB,67569725440,19.61
WMT,792493817856,25.26
WRB,22290688000,21.26
WST,24735868928,17.97
WTW,33195433984,16.34
WY,22247942144,15.31
WYNN,9537432576,24.98
XEL,38589059072,26.57
XOM,481570422784,43.66
XYL,30134896640,22.86
YUM,36418895872,20.51
ZBH,21794621440,26.19
ZBRA,20216264704,9.94
ZTS,77104095232,15.08
